date,Y_M0010049,Y_M0010049_std,Y_lag1_M0010049,Y_lag2_M0010049,Y_lag3_M0010049,Y_lag4_M0010049,Y_M0010049_reg_1234,Y_M0010049_reg_234,Y_M0010049_reg_34,Y_M0010049_reg_4,Y_M0010049_merged,Y_M0010049_prob_trans
2009-03-31,16.143604388836597,0.8493699089397251,,,,,,,,,,
2009-06-30,17.844593294663746,0.9928508335656381,0.5867113258590722,,,,,,,,,
2009-09-30,19.259702401099933,1.1122173751947146,0.6507456034197721,1.3544926607364016,,,,,,,,
2009-12-31,23.284430050788927,1.4517090923755769,0.8640026686027583,1.4960690769631904,1.9353067437359945,,,,,,,
2010-03-31,25.2511796599447,1.6176073245525238,1.1600537226370489,1.6021076345354825,1.9963223739214022,1.7568342244689203,21.542431611168936,22.211637350101284,24.454187106414885,23.10271274248356,21.542431611168936,0.040222734994334514
2010-06-30,15.137356528364055,0.7644914168291373,1.404761328752168,1.440647879971711,1.7921935159338247,1.855106212403286,19.9727074992972,20.019345656006458,24.66740737023342,24.203414979328507,19.9727074992972,0.05528670854980518
2010-09-30,16.532114169044632,0.882141282285839,1.4210639511493268,1.4026052612381739,1.5192971976509844,1.8397284983424869,20.910518118872382,20.988922242492155,23.715806630530167,24.03117582328754,20.910518118872382,0.04580893641860205
2010-12-31,18.68100294708679,1.063403222170042,1.3315648036764023,1.3386056909976725,1.4312483573378292,1.7398640139173915,20.313095388888467,20.43671492040235,22.60906858062019,22.912636718721096,20.313095388888467,0.05170250452784879
2011-03-31,24.420511738534145,1.5475392594330075,1.430218185068195,1.2778004794913072,1.30158679355951,1.5802547316181255,20.428475531749648,20.327594801595637,20.87353963944165,21.12492184960341,20.428475531749648,0.05051704841245921
2011-06-30,30.282517670800345,2.042008111312522,1.4739893741583885,1.307174799914744,1.1998607603017182,1.2311785563386977,22.31366141567287,22.246744415664374,17.625598309577843,17.215069865984585,22.31366141567287,0.034192026501588375
2011-09-30,20.89564524905194,1.2502115688400648,1.4001401463902405,0.9267090186550557,1.0465831537599608,0.9974039078131458,16.63097132743765,15.936059889989288,15.193971907988317,14.596660653365687,16.63097132743765,0.10188528355137466
2011-12-31,11.723581815716999,0.47653448156801237,1.2721097471369824,0.7748633674823313,0.733840194176519,0.84443833507839,15.77718028872875,15.112936113215689,12.96294849830214,12.883359115374356,15.77718028872875,0.11740681108614609
2012-03-31,8.549256833408103,0.20877548445489552,1.0687146805558478,0.6521987471649571,0.6030471075154614,0.6479847455277863,14.373277236908258,13.82620832495003,10.91353930092804,10.682967019928094,14.373277236908258,0.14628349315874556
2012-06-30,1.3296049934151455,-0.4002128034349892,0.637005509316634,0.3334524845214131,0.2774024045389872,0.5852474976494274,9.902632217807819,9.516055050178164,9.403970345617566,9.980274110944444,9.902632217807819,0.2680963586388078
2012-09-30,2.6052547988042463,-0.2926098596714668,0.26408976755919167,0.3678957678129857,0.15213204706455277,0.5318615790502775,10.771162377442174,11.106569418447464,8.576769367897354,9.382321416048796,10.771162377442174,0.24122928209161704
2012-12-31,4.100437955102998,-0.16648895375849432,0.14123239162163276,0.2236666476540346,0.16645641812195094,0.48623103120460115,7.964601248625287,8.175550033528285,8.23540734893659,8.871233290755745,7.964601248625287,0.33347921698656413
2013-03-31,4.165785418389456,-0.16097679878665483,0.1641367821687475,0.19337739569995863,0.054828471608476176,0.37984822014361763,8.305572352181649,8.469021513680751,7.002716982529325,7.679685215276856,8.305572352181649,0.3215851938777746
2013-06-30,7.922240860739427,0.15588576177327096,0.1561756300023958,0.15919678111662167,0.056964622850363224,0.24204205419481106,7.9341636522172045,8.031127934481697,5.847915410376082,6.136177667508672,7.9341636522172045,0.33450675623192305
2013-09-30,11.49333580916232,0.4571128911045373,0.04955590689855893,0.20273094638494288,0.08864957317615331,0.26602200940522913,8.3275055916661,8.669875131334024,6.145426161860852,6.404766823934178,8.3275055916661,0.320910880782739
2013-12-31,15.392187859061025,0.7859868156684808,0.0491376166360499,0.11815742997922854,1.28959522691513e-05,0.22880950925812577,7.374564991016295,7.5805624032753745,5.564860027141335,5.9879656274643756,7.374564991016295,0.3546082690655179
2014-03-31,14.681949858960364,0.7260771921490093,0.008715004629842803,0.08317215276835303,-0.08780373626612968,0.08266849297920496,7.472647684569248,7.707102792519713,4.068868063491502,4.3511030087857305,7.472647684569248,0.35111155400287414
2014-06-30,14.199931020400447,0.6854181917247506,-0.13729240432026993,-0.0378730923492235,-0.13715547901258546,-0.12400593317005079,5.739303617079431,5.962261738658246,2.178649905531765,2.036231722035465,5.739303617079431,0.4149714575716733
2014-09-30,6.144110485761445,0.005897840374571464,-0.2121212135080769,-0.29287564936337823,-0.18545524873485297,-0.3154386954008369,1.6462450168775833,1.4591228533212188,0.42003576002268694,-0.10792424775689824,1.6462450168775833,0.5723820984622364
2014-12-31,0.5679458511009816,-0.46445987619051327,-0.3419977124543664,-0.361415502905213,-0.4074256158972259,-0.36315087477397384,1.570812320855806,1.5528325465507216,-0.6506349786804551,-0.6423278317755141,1.570812320855806,0.575334565921255
2015-03-31,-5.523141908620799,-0.9782521183083297,-0.5097265478636283,-0.47325282519773193,-0.5014816455021845,-0.5429502392797559,0.17481975085991408,0.22294438673867045,-2.4490463810129164,-2.656183121107733,0.17481975085991408,0.6276045062618479
2015-06-30,-7.4970956971241005,-1.144758033645592,-0.7400576261174313,-0.6521321586094184,-0.5796701220183187,-0.6566533587831872,-2.761547209303515,-2.6982237518769194,-3.642695523098528,-3.929722820510813,-2.761547209303515,0.7293078258934326
