date,Y_S2707411,Y_S2707411_std,Y_lag1_S2707411,Y_lag2_S2707411,Y_lag3_S2707411,Y_lag4_S2707411,Y_S2707411_reg_1234,Y_S2707411_reg_234,Y_S2707411_reg_34,Y_S2707411_reg_4,Y_S2707411_merged
2009-03-31,-1.7,-1.1751838713567917,,,,,,,,,
2009-06-30,-1.2,-1.079238745720445,-1.121930949955351,,,,,,,,
2009-09-30,1.5,-0.5611350672841732,-0.546226558290007,-0.16769188355524653,,,,,,,
2009-12-31,6.43,0.3848838714902045,0.5091066064733575,0.9190511498182355,0.4626334819031422,,,,,,
2010-03-31,12.83,1.6129814796354416,1.2781342105435083,1.5736549887816458,1.5584389506536238,2.077421667639471,11.811024090089077,13.648559293729283,13.942129956954245,13.874746330608914,11.811024090089077
2010-06-30,14.87,2.0044375922317355,2.277274891611064,1.9031810570377248,2.1648805081741624,2.1794853562546064,17.278032189029542,16.195155424732913,16.820094100990794,14.328517637410915,17.278032189029542
2010-09-30,11.97,1.4479558635409253,1.9376780679247374,1.811865510627087,1.3223727575492064,1.767633549196168,15.310152088413954,13.60608880521483,12.546871029417971,12.497440050137055,15.310152088413954
2010-12-31,9.17,0.910663159977384,1.112918434163597,0.6424294541329557,0.4070050226965816,1.5976418085922885,8.54365207098241,7.922087992553955,8.186623143553438,11.741663188394964,8.54365207098241
2011-03-31,6.2,0.3407491136974851,0.8111217696500601,-0.015978608901070217,-0.027891595863578457,1.2166927125614357,5.992887109551081,4.8817277842849425,5.8093995245824415,10.047977887809758,5.992887109551081
2011-06-30,4.500000000000001,0.014535686533906723,0.08440093886015863,-0.03983032699743369,0.014081113314171492,0.6964870559369026,3.8103099403758622,4.827070651828948,5.471729242307737,7.7351631755919055,3.8103099403758622
2011-09-30,4.233333333333333,-0.03663504713881163,-0.3160402929638302,0.04375275205786455,0.13338933114105755,0.6735913376571372,2.4885535462996566,5.370912839380317,5.994168482297973,7.633369676405762,2.4885535462996566
2011-12-31,2.3666666666666667,-0.39483018284783905,-0.2022349787357528,-0.1550098452770015,-0.45138805724639425,0.1990979111521692,2.622016893941701,3.166821744920152,2.8361000701597536,5.523789813718056,2.622016893941701
2012-03-31,0.09999999999999998,-0.8297814190659438,-0.6121472277703717,-0.0942640532617183,-0.8308507789912463,-0.5671097641941362,1.8407047168358028,2.1653374565782757,0.3201828354020506,2.1172594125420963,1.8407047168358028
2012-06-30,-1.2333333333333332,-1.0856350874295349,-1.1779268054159733,-0.4766572721294049,-1.1010171064731238,-0.7869506205996988,-1.3055854049846989,0.35267476852239454,-1.1394772503311899,1.1398552636895967,-1.3055854049846989
2012-09-30,-1.3,-1.0984277708477144,-1.0329264579501913,-1.5964833649035586,-1.3811034493349206,-1.123958578134182,-2.8316274145282803,-3.5253087160110415,-2.7638123082293493,-0.35846939386562315,-2.8316274145282803
2012-12-31,-0.6000000000000001,-0.9641045949568291,-0.8717424789791567,-1.298652338574638,-1.3130307441836204,-0.9895461306395131,-1.6691899104912675,-2.5023442748843054,-2.3155706431077547,0.2391232737882314,-1.6691899104912675
2013-03-31,1.9666666666666666,-0.4715862833569163,-0.5061808898422011,-0.8954297196130419,-0.9090818861232464,-0.8077851210230383,0.9079596157588066,-0.28154712473748766,-0.28272176110349,1.0472258612846397,0.9079596157588066
2013-06-30,5.566666666666666,0.2192186212247793,0.3051657153320616,-0.5429923409928681,-0.37939339882722356,-0.1908735284024252,4.679013035476969,2.222841028419531,2.7683617448757034,3.7899915144088574,4.679013035476969
2013-09-30,7.8999999999999995,0.6669625408610635,0.29111165993678056,1.3218059509661433,-0.1512342537984171,0.10134707529921118,8.332028526007132,7.989194153939973,4.109564486606058,5.089193287491717,8.332028526007132
2013-12-31,9.533333333333333,0.9803832846064626,0.31377795899167443,0.8621189890504753,0.2428923042463114,-0.13576833213607872,8.342667333246226,7.742795249582847,5.670989265763706,4.0349871368544745,8.342667333246226
2014-03-31,8.6,0.8012857167519488,0.2659262054975378,0.4856032454829328,0.27573489476788254,-0.2554464071867429,7.590682705697284,6.778184745303617,5.699366555169422,3.502902932881913,7.590682705697284
2014-06-30,5.566666666666666,0.2192186212247793,-0.468316007774463,0.2373299865002688,0.108012216712041,-0.8374146773096645,4.7498320409596,5.535786875811049,4.339601289263199,0.9154939725142399,4.7498320409596
2014-09-30,0.6333333333333334,-0.7274399517205073,-0.6714334524739309,-0.9967452405850539,-0.07277699873925936,-1.002291921484841,1.3554670377337423,1.645461903597317,3.344741905119955,0.182455968828104,1.3554670377337423
2014-12-31,-3.6,-1.5397753487749088,-0.8614284351722982,-1.1746830113712983,-0.6159123871400526,-1.2827415095294636,-0.016883899752357934,-0.3520232404171164,0.5747290677230374,-1.0644123129852883,-0.016883899752357934
2015-03-31,-5.900000000000001,-1.9811229267021035,-1.0823323854979403,-1.3930539857981208,-1.0347777605808504,-1.2940397285509224,-1.9009434843049133,-2.0741041511766225,-1.3527896244741902,-1.1146437682605805,-1.9009434843049133
2015-06-30,-6.199999999999999,-2.038690002083911,-1.3322447898183778,-1.2929046227295817,-1.309021832947708,-0.8493914818472907,-3.8214047068190338,-2.448408285053402,-2.154529230123189,0.8622455516498495,-3.8214047068190338
2015-09-30,-3.3333333333333335,-1.4886046151021906,-1.0883803698344023,-1.406088188310167,-1.1047217131783724,-0.753337198546349,-2.943604293108172,-2.191244732770687,-1.1221985195501336,1.2892992692727323,-2.943604293108172
