date,Y_M5567876,Y_M5567876_std,Y_lag1_M5567876,Y_lag2_M5567876,Y_lag3_M5567876,Y_lag4_M5567876,Y_M5567876_reg_1234,Y_M5567876_reg_234,Y_M5567876_reg_34,Y_M5567876_reg_4,Y_M5567876_merged,prob_trans
2009-03-31,6.638836675622994,-1.072455662311321,,,,,,,,,,
2009-06-30,6.547938174454138,-1.0948251674387415,-0.8651176129253623,,,,,,,,,
2009-09-30,8.958029398460576,-0.5017180501628176,-0.6049235666370636,-0.1984167275456074,,,,,,,,
2009-12-31,13.671856503455505,0.6583228552320509,-0.14716131003062832,0.6759216107570448,0.9727397421793158,,,,,,,
2010-03-31,18.278245777191437,1.791924038449735,0.5830468952578497,1.3817740663834817,1.3919430488976605,2.0295256859430846,16.415326506486473,18.626858774323672,19.618673591801777,19.785423325303128,16.415326506486473,0.07893201929014632
2010-06-30,18.459968187270604,1.836644692055252,1.8816666586579602,1.8375160838078795,1.5451007805362114,2.152305483807793,20.972666826005963,20.285227976355092,20.172843862817448,20.326911322052837,20.972666826005963,0.005066272667672901
2010-09-30,17.938070206095034,1.7082091357394218,1.8361668115310372,1.9795678913468138,1.6433577857954802,2.020996240356226,20.031916302669032,20.361770196247548,19.668610103714165,19.74780644952603,20.031916302669032,0.009858437469121557
2010-12-31,18.32963388339095,1.8045703031332752,1.5979113956948783,1.6595716938044625,1.6210006922573912,1.8275164667270207,18.78758477971801,18.85531827822462,18.86923604018925,18.89451480989075,18.78758477971801,0.02194525412328874
2011-03-31,19.392397598664246,2.0661092512164747,1.6165709180731915,1.3084546246359636,1.625981343511148,1.54980741124515,18.17236649948615,17.020538580642615,17.73437338628267,17.669752082248607,18.17236649948615,0.031481622008948995
2011-06-30,19.676911524609597,2.136126200268629,1.6459165373667315,1.4755545958786658,1.3744401483813695,1.1786570034002908,17.276120709345655,17.062733348222537,16.130528226267874,16.032890853187098,17.276120709345655,0.05143309081040025
2011-09-30,19.439204180299473,2.077628033753287,1.4984539382262865,1.083710877574659,1.4560930784349089,1.0222720955477371,16.37245693828667,15.26852777736572,15.518067275810601,15.343196359893692,16.37245693828667,0.08059985594044694
2011-12-31,15.678318419402748,1.152099535150876,1.3745331482299246,0.9504564499465354,0.9166860690896654,0.8239921840879411,16.316922169180167,15.009587686323158,14.524561693700429,14.468734975209042,16.316922169180167,0.0826889527242683
2012-03-31,12.336280593740412,0.3296466749182338,1.0068149950665641,0.7141421768052266,0.8339778678455657,0.4290086869201871,13.914397178960137,13.410959208035322,12.880153321070821,12.726764175857873,13.914397178960137,0.21895798192606508
2012-06-30,10.450065982090218,-0.13453795831728574,0.3372316749031129,0.46124296935800607,0.7055052212018124,0.257826366455896,11.288128856374438,12.311577374128278,12.136222759820148,11.971809587242939,11.288128856374438,0.4569955513125031
2012-09-30,9.10809072535086,-0.46478897456602686,0.0038904645071839196,-0.041605460579999955,0.4529242410465436,0.06826187545240546,10.28999921524178,10.460243230503817,11.275179590003788,11.135785271569565,10.28999921524178,0.5581490757278621
2012-12-31,9.999050807863942,-0.24552973620873142,-0.17847105911257116,-0.17965856356259843,0.29851511742156656,-0.04930464467131948,9.603067064399998,9.906559228942914,10.741922715610574,10.617289064752395,9.603067064399998,0.6258910792310515
2013-03-31,10.30355085652741,-0.17059433779964364,-0.0602807402495929,-0.18858775355881355,0.16257937031645808,-0.13139432875432072,10.00613230945987,9.854003962182649,10.360091369614192,10.255254109808904,10.00613230945987,0.5863110530750681
2013-06-30,9.288793989671085,-0.42031912582513453,-0.07173532880380555,-0.09336674215931626,0.093517055941659,-0.13492316735781937,9.993488720510586,10.25562037248414,10.322343190527558,10.239691095538697,9.993488720510586,0.5876583116881614
2013-09-30,10.23473165249229,-0.1875302775316847,-0.16523119175919715,0.0881340034876678,-0.01643553909462258,-0.13009181608455464,9.705454584234305,11.021182186967126,10.305010596683845,10.260998499265138,9.705454584234305,0.6160194201112058
2013-12-31,10.513200537506906,-0.11900097208593421,-0.10474039939098463,-0.06759599207673049,-0.10857035021116337,-0.1409944200084022,10.197536618125262,10.571577364552821,10.229298597932605,10.212915432989163,10.197536618125262,0.5673497147551104
2014-03-31,8.35892888042915,-0.6491526276048465,-0.10868773543593217,-0.11088264097209327,-0.1632508465808204,-0.2302899036105683,10.004437032224372,10.287915430038398,9.845397882614474,9.819101195016454,10.004437032224372,0.5866479636529411
2014-06-30,8.642497458519326,-0.5793683222533212,-0.34354300060831133,-0.05887541776768726,-0.21866052842452846,-0.3948424495086596,8.606432284314884,10.163843788684863,9.153256377023688,9.093385482920194,8.606432284314884,0.7171545184813728
2014-09-30,8.326681894356081,-0.6570883923427641,-0.3621502007567681,-0.4206046274802336,-0.2529092503946416,-0.4407187428808614,8.757949494363078,8.859040409906273,8.953946714271382,8.891060160445006,8.757949494363078,0.7038438236099034
2014-12-31,7.401698611749374,-0.8847205096712074,-0.4374515955500233,-0.45022350946229733,-0.48060490687032337,-0.5273548319982124,8.615390942272882,8.834648436723233,8.52254306812201,8.50897448219624,8.615390942272882,0.7162761450271156
2015-03-31,7.359795594502594,-0.8950325582429983,-0.5788499252461768,-0.612560292236025,-0.4436977842734863,-0.5122601843237058,8.22185809365925,8.266712471408818,8.596773843063023,8.575545454563516,8.22185809365925,0.7492540227151351
2015-06-30,7.665484667683842,-0.8198045489579877,-0.8308656610848286,-0.7268691989913366,-0.46196184535337376,-0.527586933143824,7.369533545072774,7.861401216831109,8.527884572416347,8.507950861156246,7.369533545072774,0.8130620922352898
