date,Y_M0001548_M5567876,Y_M0001548_M5567876_std,Y_lag1_M0001548_M5567876,Y_lag2_M0001548_M5567876,Y_lag3_M0001548_M5567876,Y_lag4_M0001548_M5567876,Y_M0001548_M5567876_reg_1234,Y_M0001548_M5567876_reg_234,Y_M0001548_M5567876_reg_34,Y_M0001548_M5567876_reg_4,Y_M0001548_M5567876_merged
2011-03-31,0.6178232933812293,-1.5203741691922354,,,,,,,,,
2011-06-30,0.60854583200259,-1.5455292298258425,-0.6165371223415541,,,,,,,,
2011-09-30,0.6017631396136416,-1.5639199329869402,-0.888795527068289,-0.9375173486505717,,,,,,,
2011-12-31,0.7574596292194705,-1.1417619226618327,-0.7067619916803659,-1.2147780593671549,-0.959569789193526,,,,,,
2012-03-31,1.1998968890179011,0.05786970527697409,-0.9942815807540648,-0.9420284719342621,-1.2514596471508537,-0.9828676625699294,1.3009188064286095,1.17036996771347,1.3743619799009898,1.3803698348530733,1.3009188064286095
2012-06-30,1.4934732770424672,0.8538775289642374,-1.072298254744404,-1.0594965580801805,-0.9565073913474162,-1.2711068456338142,1.5767029319012973,1.625585728375969,1.4290860714038343,1.4248943338249571,1.5767029319012973
2012-09-30,1.734275540292046,1.506792726940667,-0.9411087650848879,-1.0991405590498837,-1.0597095774862633,-0.9790370154650528,1.3404595509925035,1.4605270284272112,1.3770539508728303,1.3797781122382997,1.3404595509925035
2012-12-31,1.4499824505248804,0.7359557900956205,-1.1096462669138034,-0.9536789216589847,-1.0995695967965218,-1.073975323941317,1.4833052712624486,1.3488894721592044,1.392684430360253,1.3944432961082074,1.4833052712624486
2013-03-31,1.3780083793951095,0.540804115577685,-1.513862332798285,-1.0957100265163469,-0.9592650174291464,-1.1163953857114572,1.7989781815781383,1.5968009247132555,1.402431380041176,1.4009959513599857,1.7989781815781383
2013-06-30,1.3187604484945155,0.3801583059759648,-1.301398897011989,-1.424557839640688,-1.0873188515749403,-0.968434709923929,1.4802028227989872,1.6729996241863996,1.3747481597067484,1.3781403670256347,1.4802028227989872
2013-09-30,1.1288645108355766,-0.1347286475698203,-0.8190291563031562,-1.2372083002858905,-1.4011644325781212,-1.0830699530582275,1.075035149320101,1.2870560897628462,1.3889782446446737,1.3958481495374366,1.075035149320101
2013-12-31,1.0318254201939845,-0.39784202625115056,-0.5565243986652176,-0.7711150078816718,-1.2329483503367098,-1.3903314244150682,1.1940230060664703,1.2004311094316724,1.4447590363330363,1.4433110340769582,1.1940230060664703
2014-03-31,1.3127556143735764,0.36387670045457055,-0.11069212275753681,-0.5360121145652853,-0.7652539003366531,-1.2272202993383188,1.1752684698490812,1.3968545242656423,1.4248807516843711,1.41811514972985,1.1752684698490812
2014-06-30,1.3607452130811144,0.4939964838739916,0.113051381496893,-0.033691102721388776,-0.5364615318878106,-0.7638405217026861,1.1287579155535576,1.07403287484432,1.3491890592014804,1.3465365662297828,1.1287579155535576
2014-09-30,1.3746439434076456,0.5316817287728849,0.06460977087612771,0.18773177641629057,-0.042012526085445624,-0.5385442229915165,1.4144531758979098,1.2836616343227338,1.3190840032803028,1.3117348966104534,1.4144531758979098
2014-12-31,1.6192578043378398,1.1949317550879757,0.01915749139184519,0.1293622839273036,0.18376423831675018,-0.04467958906744494,1.4087056291068414,1.3633888156644332,1.2380969813551432,1.2354472970146397,1.4087056291068414
2015-03-31,1.622935987924206,1.2049048422677953,-0.014004652558195555,0.0667863341753577,0.13036358190309832,0.17510782790033885,1.3206007799183854,1.2855969466993407,1.1993658881285485,1.2014965880347084,1.3206007799183854
2015-06-30,1.5499143505963273,1.006912779613964,0.031079637714271982,0.047504450112720455,0.08395534355388651,0.13123812809250687,1.2754131927916423,1.2726112519700779,1.2060994165264352,1.2082731698416231,1.2754131927916423
2015-09-30,1.8034824470318391,1.6944414666392433,0.044911636957473855,0.1635776211152721,0.06888468270129212,0.08404566376977916,1.2968413003118444,1.1889919816605303,1.2139519874641456,1.215563021300688,1.2968413003118444
2015-12-31,1.7640533201725626,1.5875326867052268,0.05043264668130387,0.1979528183498932,0.19029657635452527,0.06441451133576691,1.374334805713504,1.2810290551224295,1.2194496732840232,1.2185954585185363,1.374334805713504
2016-03-31,1.656895747456928,1.296983890111121,0.03846781594048438,0.22887074070438088,0.22694024808856533,0.19406014712432657,1.3699175098080605,1.2470241912237674,1.1977941970032897,1.19856901063585,1.3699175098080605
2016-06-30,1.360521871935013,0.49339091303485055,0.0002796976497500825,0.2541289483798791,0.2500105152945563,0.23478851926134858,1.3999214897531629,1.2353613028353376,1.1911930778439503,1.192277671810693,1.3999214897531629
2016-09-30,1.1433122480511577,-0.09555481640592622,0.10117203469868952,0.24852394053131277,0.2771631790927052,0.2690310162894308,1.3401480246054873,1.2525364841321827,1.1857787050967614,1.1869882104421334,1.3401480246054873
2016-12-31,0.8749961996959805,-0.8230713416576058,0.22346661814802588,0.2870884197686352,0.26427185363078504,0.3012251668550584,1.2544224401894273,1.2011224750640819,1.180016845969551,1.1820151585186474,1.2544224401894273
2017-03-31,0.6364852259917246,-1.4697738996574945,0.3937398818976621,0.3842088652789434,0.29193016840352787,0.29665380801519536,1.1845060347180951,1.1559123823435749,1.1812863220498893,1.1827212993694576,1.1845060347180951
2017-06-30,0.7548541676844451,-1.1488264137135549,0.7000279705068005,0.49040324713554106,0.3879962329211915,0.32378565916227786,1.0596161320792352,1.1555092109916318,1.178299033399453,1.1785302242156128,1.0596161320792352
2017-09-30,0.8029510029251404,-1.0184158674029058,0.9113342271286108,0.6850923782026729,0.49415667624472476,0.41768538887782325,0.9986868167681848,1.0757702116326473,1.1640057336785836,1.1640254702999964,0.9986868167681848
2017-12-31,0.820886773166839,-0.9697845264005954,1.1101761041795752,0.8847518129352223,0.6855765745505326,0.513927938066405,0.9935900729331961,1.069339243607739,1.150799398334651,1.1491588194968376,0.9935900729331961
2018-03-31,0.8639653371650015,-0.8529806028749733,1.3049640290482212,1.0280223881303203,0.8779436086468475,0.6934064885518757,0.9547379927824808,1.0770064926649572,1.1232951025684939,1.1214346480236124,0.9547379927824808
2018-06-30,0.9191876606179963,-0.7032498911969817,1.4605604182837146,1.1506009164520568,1.0137936413151678,0.8849830425562077,0.900984303413618,1.0442925119140452,1.0927226434035067,1.0918416898729073,0.900984303413618
2018-09-30,1.069744076632755,-0.2950287605383608,1.438396274863823,1.278070312601574,1.1311571830881708,1.0149599764861932,0.9682823686983895,1.0122340263225782,1.072420735665939,1.0717640661452146,0.9682823686983895
2018-12-31,1.0814572866948704,-0.26326937105654735,1.357036640730465,1.2778538775084531,1.259904835926682,1.1217787455239534,1.0593190194987752,1.093197632687357,1.0563003855373765,1.0552636996036346,1.0593190194987752
2019-03-31,,,1.2820767904880122,1.1916277975439127,1.2575421120141932,1.237180185978354,1.0524089184776828,1.1153564450876656,1.0364129354508749,1.0374375620804548,1.0524089184776828
2019-06-30,,,,1.1227753810825651,1.1747070198763514,1.2405458321457783,,1.0896709382919343,1.0343866223579774,1.0369176684708201,1.0896709382919343
2019-09-30,,,,,1.1008823402798533,1.1569423521916733,,,1.0474742775162265,1.0498319538143135,1.0474742775162265
2019-12-31,,,,,,1.0837425556344684,,,,1.0611391752403159,1.0611391752403159
