,date,up,keep,down,predindex,hs300
73,2011-06-03 00:00:00,2599,1663,2444,0.03073567321039064,2986.35
74,2011-06-10 00:00:00,2410,1642,2271,0.029694509720145267,2961.93
75,2011-06-17 00:00:00,2501,1695,2452,0.009892994144962648,2892.16
76,2011-06-24 00:00:00,3101,2024,3174,-0.011633466135458168,3027.47
77,2011-07-01 00:00:00,3721,2335,3800,-0.01050392235075123,3049.75
78,2011-07-08 00:00:00,4021,2467,4008,0.0016191306513887158,3109.18
79,2011-07-15 00:00:00,4128,2567,4121,0.0008485877076009214,3128.89
80,2011-07-22 00:00:00,4234,2535,4017,0.0262998424433402,3067.99
81,2011-07-29 00:00:00,4101,2376,3815,0.03612935826174836,2972.08
82,2011-08-05 00:00:00,4244,2600,4130,0.013613565798901361,2897.42
83,2011-08-12 00:00:00,4868,3000,4986,-0.011974832555307489,2875.36
84,2011-08-19 00:00:00,5535,3331,5989,-0.0393960430406109,2807.66
85,2011-08-26 00:00:00,6430,4167,7723,-0.0913587225323253,2901.22
86,2011-09-02 00:00:00,7144,4551,8834,-0.10577043434722744,2803.85
87,2011-09-09 00:00:00,6534,4160,8340,-0.12141992739007665,2751.09
88,2011-09-16 00:00:00,5207,3513,6929,-0.14189189189189189,2733.99
89,2011-09-23 00:00:00,3919,2547,4915,-0.11274620783337107,2669.48
90,2011-09-30 00:00:00,2434,1630,3072,-0.11587359244460589,2581.35
91,2011-10-07 00:00:00,1852,1295,2243,-0.09548229548229548,2557.08
92,2011-10-14 00:00:00,2110,1460,2569,-0.09809788416328276,2653.78
93,2011-10-21 00:00:00,2759,1992,3577,-0.12910353535353536,2507.88
94,2011-10-28 00:00:00,4653,4436,8225,-0.2773722627737226,2709.02
95,2011-11-04 00:00:00,6164,5677,11455,-0.3003008116238152,2763.75
96,2011-11-11 00:00:00,6180,5834,11751,-0.3106909820980425,2695.0
97,2011-11-18 00:00:00,5780,5612,11189,-0.3187577346926749,2606.5
98,2011-11-25 00:00:00,4173,3554,7591,-0.29054743284597073,2569.97
99,2011-12-02 00:00:00,2855,2174,4257,-0.1971316085489314,2557.06
100,2011-12-09 00:00:00,2986,2209,4389,-0.1902372881355932,2503.46
101,2011-12-16 00:00:00,3200,2252,4870,-0.20693928128872366,2390.13
102,2011-12-23 00:00:00,3279,2255,4985,-0.20643756050338818,2359.16
103,2011-12-30 00:00:00,3334,2302,5151,-0.2141426045963465,2345.74
104,2012-01-06 00:00:00,3058,2141,4833,-0.22493980484095805,2290.6
105,2012-01-13 00:00:00,3060,2244,4946,-0.2355733200099925,2394.33
106,2012-01-20 00:00:00,2956,2300,5182,-0.2735315802408454,2504.09
107,2012-01-27 00:00:00,2251,1909,4135,-0.2950203570310053,2460.72
108,2012-02-03 00:00:00,2352,1961,4774,-0.33988212180746563,2506.09
